A.J. Cook
Kourtney Kardashian
Krista Allen
Kristen Bell
Kristen Doute
Kristen Stewart
Kristen Wiig
Kristin Cavallari
Kristina Klebe
Kristin Chenoweth
Kristin Davis
Kristin Kreuk
Kristy McNichol
Kristy Swanson
Krysten Ritter
Ksenia Solo
Kyle Richards
Kylie Bunbury
Kylie Jenner
Kylie Minogue
Lacey Chabert
Lady Gaga
Laetitia Casta
Lais Ribeiro
Lake Bell
Lala Kent
Lalaine
Lana Del Rey
Lana Parrilla
Lana Rhoades
Lara Flynn Boyle
Lara Pulver
Lark Voorhies
Larsen Thompson
Laura Dreyfuss
Laura Harrier
Laura Leighton
Laura Linney
Laura Mennell
Laura Prepon
Laura San Giacomo
Laura Vandervoort
Laura Wiggins
Lauren Ambrose
Lauren Bacall
Lauren Bowles
Lauren Cohan
Lauren Conrad
Lauren Hanley
Lauren Holly
Lauren London
Laurie Holden
Laurie Metcalf
Leah Remini
Lea Thompson
Lea Michele
Lea Seydoux
Leanna Bartlett
Leanna Decker
Leelee Sobieski
Leighton Meester
Leila Lowfire
Lena Gercke
Lena Headey
Lena Paul
Lena Meyer-Landrut
Lesley-Ann Brandt
Leslie Bibb
Leslie Mann
Leslie Stefanson
Leticia Jimenez
Lexi Belle
Li Gong
Liya Silver
Lili Reinhart
Lili Simmons
Lily Aldridge
Lily Allen
Lily Carter
Lily Chee
Lily Cole
Lily Collins
Lily James
Lily Labeau
Lily-Rose Depp
Lily Sheen
Lily Tomlin
Lina Posada
Linda Cardellini
Linda Evans
Linda Fiorentino
Linda Gray
Linnea Quigley
Lindsay Ellingson
Lindsay Lohan
Lindsay Wagner
Lindsey Pelas
Lindsey Vonn
Lindy Booth
Lisa Ann
Lisa Bonet
Lisa Kudrow
Lisa Rinna
Lisa Vanderpump
Lisa Whelchel
Liv Tyler
Lizzy Caplan
Loni Anderson
Lorde
Lorraine Bracco
Louise Robey
Lucille Ball
Lucy Hale
Lucy Lawless
Lucy Liu
Lucy Pinder
Lucy Zara
Ludella Hahn
Lupita Nyong’o
Lyna Perez
Lynda Carter
Lyndsy Fonseca
Léa Seydoux
Mackenzie Davis
Mackenzie Foy
Mackenzie Phillips
Mackenzie Ziegler
Mädchen Amick
Maddie Ziegler
Madelaine Petsch
Madeleine Stowe
Madelyn Deutch
Madelyn Marie
Madison Beer
Madison Ivy
Madison Pettis
Madison Riley
Madisyn Shipman
Madonna
Mae Whitman
Maia Mitchell
Maggie Grace
Maggie Gyllenhaal
Maggie Q
Maggie Siff
Mahaley Patel
Maisie Williams
Majandra Delfino
Malin Akerman
Mandy Moore
Marcia Cross
Margaret Josephs
Margaret Qualley
Margot Robbie
Maria Bakalova
